width	300	height	900
domain	16	rank	4
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	1	2.97656
1	0	7	2.34375
2	2	5	3.14844
2	2	7	4.40625
1	0	4	1.76953
1	0	6	2.01953
1	0	0	0.699219
1	0	5	4.07031
1	0	3	0.546875
1	0	1	1.27344
17	14	6	1.08594
2	2	5	1.39844
1	0	1	1.10156
1	0	1	1.10156
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
2	2	0	0.00390625
2	2	0	2.37891
17	4	5	58
6	4	0	60.8359
5	5	6	331.305
5	5	6	298.453
5	5	3	152.063
5	5	3	152.055
5	5	3	158.27
5	5	3	177.176
6	4	5	334.305
17	6	4	52.1719
12	4	0	71.5078
2	2	5	17.5625
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
1	0	0	0.449219
1	0	0	0.550781
2	2	3	3.51953
14	1	5	29.6797
5	5	6	295.148
0	7	6	146.059
11	0	5	383
10	0	5	327.148
0	10	3	406.398
0	9	6	796.133
9	6	5	494.086
9	6	5	476.563
13	8	6	748.875
0	7	6	919.848
0	7	3	572.766
0	11	6	977.551
9	6	0	83.2617
0	10	6	684.598
0	7	3	398.195
0	7	3	264.461
0	7	3	125.324
0	7	3	29.4336
0	6	3	31.0547
2	2	5	13.4375
1	0	5	7.03906
2	2	1	2.32031
1	0	0	0.613281
1	0	7	2.65625
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0.8125
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
0	0	0	0
14	1	5	26.1953
0	7	6	6.44141
0	11	3	225.293
0	10	3	339.484
9	6	5	564.867
15	14	0	177.352
17	5	6	1282.64
17	12	6	1164.38
0	9	1	242.406
15	2	3	613.078
17	13	6	954.848
15	6	0	80.8789
16	9	3	254.555
15	2	6	767.262
13	8	0	123.992
8	13	0	79.2695
14	15	6	863.445
17	12	3	640.277
9	6	5	603.68
14	5	6	987.918
9	6	0	92.6992
9	6	0	77.3867
1	4	5	581.07
9	6	0	3.63672
0	7	3	106.918
